actor_id,actor_name
1161,Mary Elizabeth Mastrantonio
25879,Geoff Pierson
25256,Victoria Abril
35137,Josiane Balasko
4275,Alain Chabat
13689,Ticky Holgado
35908,Catherine Hiegel
38402,Katrine Boorman
38403,Telsche Boorman
38404,Véronique Barrault
9778,Ice Cube
9781,Nia Long
8396,Tom Lister Jr.
56902,John Witherspoon
54800,Anna Maria Horsford
9788,Regina King
45245,Paula Jai Parker
65134,DJ Pooh
1461,George Clooney
1037,Harvey Keitel
3196,Juliette Lewis
11158,Ernest Liu
3136,Salma Hayek
11159,Cheech Marin
11160,Danny Trejo
11161,Tom Savini
9811,Fred Williamson
13021,William Baldwin
33665,Cindy Crawford
782,Steven Berkoff
4443,Christopher McDonald
30488,Miguel Sandoval
170954,Johann Carlo
60118,John Bedford Lloyd
3981,Jenette Goldstein
52419,Josh Hamilton
52930,Carlos Jacott
7036,Eric Stoltz
78190,Chris Eigeman
81373,Jason Wiles
7489,Parker Posey
21967,Samuel Gould
10130,Catherine Kellner
1052883,Jonathan Baumbach
3829,Jean-Paul Belmondo
35211,Michel Boujenah
63895,Alessandra Martines
141054,Salomé Lelouch
6014,Annie Girardot
3581,Philippe Léotard
24464,Philippe Khorsand
133834,Nicole Croisille
2224,Christian Slater
31140,Mary Stuart Masterson
21063,Pamela Adlon
16851,Josh Brolin
4890,Brian Tarantina
10386,Debra Monk
9572,Mary Alice
26258,Kenneth Cranham
18316,Ally Walker
38691,Anne Pitoniak
8872,Rick Moranis
74036,Tom Arnold
105962,Julianne Phillips
10556,Carol Kane
4175,Jeffrey Tambor
87003,Curtis Armstrong
27726,Don Knotts
27811,Peter Weller
56977,Roy Dupuis
56978,Jennifer Rubin
56979,Andrew Lauer
25689,Liliana Komorowska
1229549,Michael Caloz
30617,Jason Cavalier
1242148,Ron White
1445745,Charles Edwin Powell
938895,Nico
109142,Tina Aumont
14397,Jackson Browne
7491,John Cale
18627,Paul Morrissey
54754,Viva
1078926,Ari Boulogne
514,Jack Nicholson
5657,Anjelica Huston
32,Robin Wright
6721,Piper Laurie
1272,Richard Bradford
23648,Priscilla Barnes
98084,David Baerwald
72861,Robbie Robertson
47879,John Savage
7447,Alec Baldwin
24045,Joseph Gordon-Levitt
8256,Anne Heche
15183,Tony Lo Bianco
14884,Michael Constantine
13525,Matt Craven
148635,Todd Susman
1034640,Aida Mohammadkhani
1034642,Mohsen Kafili
1034643,Fereshteh Sadre Orafaiy
1387299,Anna Borkowska
1387300,Mohammad Shahani
1271,Andy García
1062,Christopher Lloyd
4520,William Forsythe
5502,Bill Nunn
4515,Treat Williams
884,Steve Buscemi
826,Fairuza Balk
5503,Gabrielle Anwar
4690,Christopher Walken
13506,Willeke van Ammelrooy
13507,Els Dottermans
13508,Dora van der Groen
13509,Veerle van Overloop
13510,Esther Vriesendorp
13511,Arne Bang-Hansen
13512,Thyrza Ravesteijn
13513,Mil Seghers
13514,Jan Decleir
13515,Elsie de Brauw
19739,"Al Freeman, Jr."
119598,Phylicia Rashād
157439,Paula Kelly
53918,Salli Richardson-Whitfield
10939,Bernie Casey
6542,Isaac Hayes
1384901,Ray J
40175,Polly Bergen
94511,Taj Mahal
990400,Victoria Foyt
22137,Viveca Lindfors
69697,Jon Robin Baitz
175081,Savannah Smith Boucher
24368,Roscoe Lee Browne
109470,Andre Gregory
59204,Nick Gregory
6832,Melissa Leo
7505,Roddy McDowall
17495,Martha Plimpton
40900,Mark Rylance
14326,Patsy Kensit
55037,Jeremy Kemp
35862,Douglas Henshall
30320,Annette Badland
25658,Chris Larkin
8227,Anna Massey
1229,Jeff Bridges
6692,Caroline Goodall
24965,Scott Wolf
11864,Ryan Phillippe
153862,David Lascher
83051,Eric Michael Cole
61983,Jason Marsden
1206,Jason Alexander
6450,Faye Dunaway
27564,Eric Lloyd
4757,Rupert Everett
171373,Graham Sack
5129,Paul Reubens
13243,Glenn Shadix
156592,Nathan Davis
169906,Jennifer Bassey
44185,Judith Scott
58198,Chris Farley
60950,David Spade
31511,Grant Heslov
21561,Tim Matheson
2048,Gary Busey
14888,Bruce McGill
4003,Christine Ebersole
17396,Timothy Carhart
56486,Michael Patrick Carter
20196,Boyd Banks
85,Johnny Depp
21365,Courtney Chase
21366,Roma Maffia
21368,Peter Strauss
21369,Gloria Reuben
19131,Marsha Mason
203762,Miguel Nájera
17200,Bill Smitrovich
12261,Jason Patric
9030,Thandie Newton
16476,Larry Drake
8975,Sam Waterston
11867,Eric Mabius
233294,Sarah-Jane Wylde
1204,Julia Roberts
6949,John Malkovich
47722,George Cole
5658,Michael Gambon
515,Glenn Close
1229735,Kathy Staff
33399,Bronagh Gallagher
8443,Linda Bassett
776,Eddie Murphy
32486,Allen Payne
66554,Kadeem Hardison
47458,Zakes Mokae
593,Joanna Cassidy
6951,W. Earl Brown
172200,Simbi Khali
11315,Noah Emmerich
49425,Annabeth Gish
16327,Timothy Hutton
139,Uma Thurman
3201,Pruitt Taylor Vince
11805,Frank Whaley
126418,Howie Long
6198,Vondie Curtis-Hall
12536,Jack Thompson
61216,Vyto Ruginis
29859,Richard Briers
13637,Joan Collins
12094,Jennifer Saunders
53328,Julia Sawalha
9139,Celia Imrie
26860,John Sessions
40311,Adrian Scarborough
237613,Hetta Charnley
1925,Vincent Cassel
5418,Hubert Koundé
5419,Saïd Taghmaoui
5420,Abdel Ahmed Ghili
72270,Souleymane Dicko
5424,Héloïse Rauth
5442,Benoît Magimel
5441,Edouard Montoute
2170,Marc Duret
5423,Joseph Momo
41381,Sadie Frost
9642,Jude Law
28848,Sean Pertwee
30087,Fraser James
19995,Marianne Faithfull
202032,Ralph Ineson
19299,Eamonn Walker
1243685,Lee Whitlock
92561,Nick Broomfield
92032,Heidi Fleiss
1144665,Madam Alex
1144666,Ivan Nagy
74954,Corinne Bohrer
42545,Ron Jeremy
550826,Daryl Gates
3036,John Cusack
1004,Danny Aiello
2641,Martin Landau
36422,Luke Wilson
887,Owen Wilson
74940,Lumi Cavazos
71555,Andrew Wilson
52797,Robert Musgrave
148593,Haley Miller
3085,James Caan
42006,Ned Dowd
1117323,Shea Fowler
1117324,Brian Tenenbaum
14,Ellen DeGeneres
8984,Bill Pullman
3234,Joan Cusack
923,Dean Stockwell
23709,Joan Plowright
15250,Hope Davis
1232807,Ellen Cleghorne
170162,Christine Cattell
128621,Robert Goulet
11477,Ray Liotta
9625,Linda Fiorentino
9979,Peter Coyote
14595,Duncan Fraser
21058,Colleen Rennison
21059,Caroline Elliott
21060,Stellina Rusich
19292,Adam Sandler
7399,Ben Stiller
31171,Julie Bowen
11794,Frances Bay
1101,Carl Weathers
10460,Richard Kiel
170802,Bob Barker
20818,Allen Covert
59196,Joe Flaherty
5064,Meryl Streep
190,Clint Eastwood
6907,Annie Corley
10379,Victor Slezak
10380,Jim Haynie
10381,Sarah Kathryn Schmitt
10382,Christopher Kroon
10383,Phyllis Lyons
10388,Richard Lage
22686,Maria Schrader
70887,Pierre Sanoussi-Bliss
70888,Michael von Au
9931,Elisabeth Trissenaar
1084,Joachim Król
34297,Ingo Naujoks
13472,Tim Curry
19996,Kevin Bishop
64181,Dave Goelz
7908,Frank Oz
64180,Steve Whitmire
133876,David Nicholls
1705493,Frederick Warder
121112,Harry Jones
937034,Christy Turlington
937035,Azzedine Alaïa
103057,Giorgio Armani
50841,Nadja Auermann
3664,Sandra Bernhard
937036,Kate Betts
937037,Brandi
937039,Carla Bruni
56367,Naomi Campbell
33463,Nino Cerruti
1112607,Rustam Branaman
36197,Jennifer MacDonald
4944,Taylor Nichols
56930,David Selby
35040,Paul Williams
10691,April Grace
1916,Biff Yeager
128174,Tom Bresnahan
2462,Catherine McCormack
1957,Sophie Marceau
2463,Patrick McGoohan
2464,Angus Macfadyen
2039,Brendan Gleeson
2465,James Robinson
2467,James Cosmo
2468,Sean McGinley
2469,Gerda Stevenson
1036,Cybill Shepherd
1038,Jodie Foster
1039,Peter Boyle
1040,Leonard Harris
13,Albert Brooks
1041,Diahnne Abbott
1043,Gino Ardito
1032,Martin Scorsese
18897,Jackie Chan
44917,Anita Mui
10875,Françoise Yip
44922,Bill Tung
44919,Marc Akerstream
21264,Garvin Cross
44921,Morgan Lam
1426138,Kris Lord
1235524,Carrie Cain-Sparks
3896,Liam Neeson
820,Edward Furlong
658,Alfred Molina
1473,Daniel von Bargen
121955,Julia Weldon
11512,John Heard
37042,Ann Magnuson
19901,Clive Russell
198287,Craig Olejnik
6074,Kenneth Welsh
563767,Andrea Morris
12270,Michel Serrault
30641,Eddy Mitchell
20851,Sabine Azéma
2744,Carmen Maura
77929,François Morel
35911,Patrick Bouchitey
342254,Roger Gicquel
19934,Catherine Jacob
2415,Yolande Moreau
235494,Olivier Saladin
81023,Tobias Arnold
53367,Ruth Sheen
81024,Roger Lloyd Pack
5312,Hugh O'Conor
81025,Norman Caro
81026,Dorothea Alexander
10729,Charlotte Coleman
46427,Paul Stacey
81027,Samantha Edmonds
81028,Robert Demeger
520,Sarah Jessica Parker
5590,Elle Macpherson
1245,Scarlett Johansson
68185,Eric Schaeffer
68186,Dominic Chianese
68187,Emily Hart
1903,Alan Arkin
10768,Rachel Ticotin
532,Joe Pantoliano
34597,Kevin McCarthy
11318,Holland Taylor
4587,Halle Berry
26485,Jim Belushi
13446,Eliza Dushku
17770,Kevin Tighe
171522,Anthony Ruivivar
18324,Steve Zahn
20303,Dion Basco
239978,J. Moki Cho
239979,Nadja Pionilla
1195879,Brian Dooley
946161,Philip Dinn
